label	source_id	relationship	target_id	evidence_locator	status	boundary
EVIDENCE	SEED	anchors-scope	WENG-HARNESS	User request	verified	Seed is orientation input, not independent evidence
EVIDENCE	WENG-HARNESS	cites	GOOD-1965	Reference 1	verified	Historical ultraintelligence and intelligence-explosion framing only
EVIDENCE	WENG-HARNESS	cites	YUDKOWSKY-2008	Reference 2	verified	Recursive cognitive-machinery/optimization framing only
EVIDENCE	WENG-HARNESS	cites	ASP	Reference 3	verified	Primary paper owns anchored self-play mechanism, cross-source repair results, limitations
EVIDENCE	WENG-HARNESS	cites	ABSOLUTE-ZERO	Reference 4	verified	Primary paper owns proposer-solver weight-training mechanism, author results, safety caveats
EVIDENCE	WENG-HARNESS	cites	SELF-REWARDING	Reference 5	verified	Primary paper owns self-instruction/self-judging iterative alignment mechanism and author results
EVIDENCE	WENG-HARNESS	cites	SPIN	Reference 6	verified	Primary paper owns iterative self-play fine-tuning mechanism and author results
EVIDENCE	WENG-HARNESS	cites	ACE	Reference 7	verified	Primary source owns claims
EVIDENCE	WENG-HARNESS	cites	MCE	Reference 8	verified	Primary source owns bi-level mechanism, results, and limitations
EVIDENCE	WENG-HARNESS	cites	META-HARNESS	Reference 9	verified	Primary source owns claims
EVIDENCE	WENG-HARNESS	cites	AI-SCIENTIST	Reference 10	verified	Primary source owns claims
EVIDENCE	WENG-HARNESS	cites	SCIENTISTONE	Reference 11	verified	Primary source owns the Chain-of-Evidence standard, three-stage research workflow, integrity-audit results, and limitations
EVIDENCE	WENG-HARNESS	cites	AUTODATA	Reference 12	verified	Primary source owns the Agentic Self-Instruct workflow, controlled training-data results, strong-solver boundary, and limitations
EVIDENCE	WENG-HARNESS	cites	ADAS	Reference 13	verified	Primary source owns claims
EVIDENCE	WENG-HARNESS	cites	SELF-REFINE	Reference 14	verified	Primary source owns iterative-refinement mechanism, results, and limitations
EVIDENCE	WENG-HARNESS	cites	AFLOW	Reference 15	verified	Primary source owns claims
EVIDENCE	WENG-HARNESS	cites	STOP	Reference 16	verified	Primary source owns claims
EVIDENCE	WENG-HARNESS	cites	SELF-HARNESS	Reference 17	verified	Primary source owns claims
EVIDENCE	WENG-HARNESS	cites	PROMPTBREEDER	Reference 18	verified	Primary source owns task-prompt and mutation-prompt evolution, reasoning results, fixed-topology limit, and evaluation scope
EVIDENCE	WENG-HARNESS	cites	GEPA	Reference 19	verified	Primary source owns reflective compound-system prompt evolution, benchmark and rollout results, merge behavior, and evaluator-dependent limits
EVIDENCE	WENG-HARNESS	cites	ALPHAEVOLVE	Reference 20	verified	Primary source owns claims
EVIDENCE	WENG-HARNESS	cites	SHINKAEVOLVE	Reference 21	verified	Primary source owns island program evolution, bounded AIME 2024 scaffold-search results, 2023/2025 transfer and contamination caveats, ablations, and limitations
EVIDENCE	WENG-HARNESS	cites	THETAEVOLVE	Reference 22	verified	Primary source owns the dynamic program environment, reward-shaped weight training, matched results, and evaluator caveats
EVIDENCE	WENG-HARNESS	cites	DGM	Reference 23	verified	Primary source owns claims
EVIDENCE	WENG-HARNESS	cites	HYPERAGENTS	Reference 24	verified	Primary source owns the editable task-and-meta-agent program, archive search, held-out agent-quality result, fixed outer-loop and evaluator limits, and safety discussion; no independent reproduction
EVIDENCE	WENG-HARNESS	cites	LEARNING-DISCOVER	Reference 25	verified	Primary source owns test-time weight training with archive reuse, the bounded GPUMode TriMul discovery result, and continuous-verifier and problem-specific compute limits; no independent reproduction
EVIDENCE	WENG-HARNESS	cites	EPISTEMIC-DISCOVERY	Reference 26	verified	Primary source owns uncertainty-guided LoRA-ensemble test-time training, the bounded CP26 reward and entropy result, and single-seed verifier and ensemble-cost limits; no independent reproduction
EVIDENCE	WENG-HARNESS	cites	SIA	Reference 27	verified	Primary source owns claims
EVIDENCE	WENG-HARNESS	cites	NOT-SCIENTISTS	Reference 28	verified	Primary source owns claims
EVIDENCE	WENG-HARNESS	cites	GPT5-SCIENCE	Reference 29	verified	Primary source owns the company-authored case-study structure, four human-verified mathematics results, and expert-input, prompt-sensitivity, and reproducibility limits; not benchmark validation; no independent reproduction
EVIDENCE	WENG-HARNESS	cites	PAPERBENCH	Reference 30	verified	Primary source owns claims
EVIDENCE	WENG-HARNESS	cites	REBENCH	Reference 31	verified	Primary source owns claims
