source_id	url	local_path	observed_at	bytes	status	sha256	claim_ceiling	note
SIMAS-SITE	https://selfimproving-agent.github.io/	evidence/self_improving_agents_survey/site/index.html	2026-08-09T00:00:00Z	238499	fetched-dated	sha256:53e09a2207d0cae28123aea82bbd0e469e05d12a2f45774b0adea096b4509596	Project-page taxonomy, bibliography topology, author framing, and dated page claims; primary linked sources own mechanisms and results	
SIMAS-SITE	https://selfimproving-agent.github.io/static/images/fig-si-main-001.png	evidence/self_improving_agents_survey/site/static/images/fig-si-main-001.png	2026-08-09T00:00:00Z	3191813	fetched-dated	sha256:a8faffc1082f3f91e5486a5508422f179b2c6953c6903df29b675b75826e7c45	Same-site figure bytes only; interpretation remains tied to the captured page and paper	
SIMAS-PAPER	https://export.arxiv.org/api/query?id_list=2607.13104	evidence/self_improving_agents_survey/survey/metadata/arxiv-2607.13104.atom	2026-08-09T00:00:00Z	3256	fetched-arxiv	sha256:748631fd3d5902609d7aa554961bc97fe233cf0a7b90174f2dded8e4a781be01	arXiv metadata identity, author list, abstract, categories, version, and linked project/repository comments	
SIMAS-PAPER	https://arxiv.org/abs/2607.13104v1	evidence/self_improving_agents_survey/survey/metadata/arxiv-2607.13104v1.html	2026-08-09T00:00:00Z	42358	fetched-arxiv	sha256:29d71aeb6214222495b389ad5d602260058653affff5203fa4173a508a426403	arXiv abstract page identity and version metadata	
SIMAS-PAPER	https://arxiv.org/pdf/2607.13104v1	evidence/self_improving_agents_survey/survey/artifacts/pdf/self-improvements-modern-agentic-systems-2607.13104v1.pdf	2026-08-09T00:00:00Z	5331472	fetched-arxiv	sha256:896642aa98dc5a283147aa4245ef96e92891bbc72f31f727c1d36c761cfd70b8	Survey paper text and author-reported taxonomy; no independent reproduction of linked work claims	
SIMAS-SITE-REPO	https://api.github.com/repos/selfimproving-agent/selfimproving-agent.github.io/commits/d8af6607ced118351108670f823cd106649cb757	evidence/self_improving_agents_survey/repos/site_repo/commit-d8af6607ced118351108670f823cd106649cb757.json	2026-08-09T00:00:00Z	7575	fetched-github-api	sha256:0768476959c5ba6cfe486fea63979ffa45ad2c573bdfb6637e7a28d2a3165b37	Pinned GitHub Pages source commit metadata and file-level patch identity	
SIMAS-SITE-REPO	https://raw.githubusercontent.com/selfimproving-agent/selfimproving-agent.github.io/d8af6607ced118351108670f823cd106649cb757/index.html	evidence/self_improving_agents_survey/repos/site_repo/index-d8af6607ced118351108670f823cd106649cb757.html	2026-08-09T00:00:00Z	238499	fetched-pinned-raw	sha256:53e09a2207d0cae28123aea82bbd0e469e05d12a2f45774b0adea096b4509596	Pinned GitHub Pages source bytes for the hub index	
SIMAS-AWESOME-REPO	https://api.github.com/repos/selfimproving-agent/Awesome-Self-Improving-Agents	evidence/self_improving_agents_survey/repos/awesome_repo/repository.json	2026-08-09T00:00:00Z	7972	fetched-github-api	sha256:a5ca985ccec317b1973fba3bf972ac0d43befa1b91b610eb13f579156b500e37	Linked bibliography/update repository metadata; not source-tree inspection	
SIMAS-AWESOME-REPO	https://api.github.com/repos/selfimproving-agent/Awesome-Self-Improving-Agents/commits/main	evidence/self_improving_agents_survey/repos/awesome_repo/default-branch-commit.json	2026-08-09T00:00:00Z	5174	fetched-github-api	sha256:3eb230b98626fa95f34b7eb2f608f036694ada52cd7b36b3ee988a5b8a776df8	Default-branch commit metadata at capture time	
SIMAS-AWESOME-REPO	https://raw.githubusercontent.com/selfimproving-agent/Awesome-Self-Improving-Agents/57a1d89e5bafcd65db7feb51e809422700aeb48a/README.md	evidence/self_improving_agents_survey/repos/awesome_repo/README.md	2026-08-09T00:00:00Z	71883	fetched-pinned-raw	sha256:d5f8e4e74aa990bbf170fa35b9fafea75ecc434a208c43d6fbc43cff3bf18a10	README at observed default-branch commit 57a1d89e5bafcd65db7feb51e809422700aeb48a	
SIMAS-AWESOME-REPO	https://raw.githubusercontent.com/selfimproving-agent/Awesome-Self-Improving-Agents/57a1d89e5bafcd65db7feb51e809422700aeb48a/LICENSE	evidence/self_improving_agents_survey/repos/awesome_repo/LICENSE	2026-08-09T00:00:00Z	1076	fetched-pinned-raw	sha256:2432179d19d0db400a8d29b3468aab8c025dcdd5dae7206b02876fe6ac2de426	License file at observed default-branch commit 57a1d89e5bafcd65db7feb51e809422700aeb48a	
SIMAS-PAPER	local-derived	evidence/self_improving_agents_survey/survey/text/self-improvements-modern-agentic-systems-2607.13104v1.txt	2026-08-09T00:00:00Z	377237	derived-text	sha256:07ad2c805e1985f54eed1b9eb67669e1c08749dbf9c38073d90c084fe244ae0e	Derived text for local reading; cite raw PDF or HTML for source identity	
SIMAS-SITE	local-derived	evidence/self_improving_agents_survey/site/index.txt	2026-08-09T00:00:00Z	65166	derived-text	sha256:5c3c6620b148f1daab413c12d3bebc51b8aabc15172229e62cd4264c33261419	Derived text for local reading; cite raw PDF or HTML for source identity	
SIMAS-SITE-REPO	local-derived	evidence/self_improving_agents_survey/repos/site_repo/index-d8af6607ced118351108670f823cd106649cb757.txt	2026-08-09T00:00:00Z	65166	derived-text	sha256:5c3c6620b148f1daab413c12d3bebc51b8aabc15172229e62cd4264c33261419	Derived text for local reading; cite raw PDF or HTML for source identity	
