schema_version	receipt_id	source_id	source_class	role	immutable_identity	source_url	upstream_path	bytes	sha256	local_path	observed	license_status	redistribution_status
crouzeix-source-receipt/v1	CROUZEIX-2007	CROUZEIX-2007	dated-page	prerequisite	doi:10.1016/j.jfa.2006.10.013	https://doi.org/10.1016/j.jfa.2006.10.013	-	-	-	-	2026-08-14	publisher-record	metadata-only
crouzeix-source-receipt/v1	CROUZEIX-PALENCIA-2017	CROUZEIX-PALENCIA-2017	dated-page	prerequisite	doi:10.1137/17M1116672	https://doi.org/10.1137/17M1116672	-	-	-	-	2026-08-14	publisher-record	metadata-only
crouzeix-source-receipt/v1	DELYON-DELYON-1999	DELYON-DELYON-1999	dated-page	prerequisite	doi:10.24033/bsmf.2340	https://doi.org/10.24033/bsmf.2340	-	-	-	-	2026-08-14	publisher-record	metadata-only
crouzeix-source-receipt/v1	JIN-565-ARCHIVE	JIN-V4-AUDITED	git-artifact	history	git:565b6a3e0659b6e0785f783b016c3f6d9f171fa5	https://github.com/jinshanmu/CrouzeixConjecture/archive/565b6a3e0659b6e0785f783b016c3f6d9f171fa5.tar.gz	-	2635836	33ee5b75c1037866c4d2bda8eff872cc0640fd42e7c31c58a8e6047405f69542	-	2026-08-14	not-present-at-revision	remote-only
crouzeix-source-receipt/v1	JIN-565-AXIOM-AUDIT	JIN-V4-AUDITED	git-artifact	formalization	git:565b6a3e0659b6e0785f783b016c3f6d9f171fa5	https://github.com/jinshanmu/CrouzeixConjecture/blob/565b6a3e0659b6e0785f783b016c3f6d9f171fa5/Lean/AxiomAudit.lean	Lean/AxiomAudit.lean	13939	79eb2d447b9e565f3ee1297bf42b6dfcde2fac32bc79c621198ab4e3d5c8800c	-	2026-08-14	not-present-at-revision	quotation-only
crouzeix-source-receipt/v1	JIN-565-FORMALIZATION-MAP	JIN-V4-AUDITED	git-artifact	formalization	git:565b6a3e0659b6e0785f783b016c3f6d9f171fa5	https://github.com/jinshanmu/CrouzeixConjecture/blob/565b6a3e0659b6e0785f783b016c3f6d9f171fa5/Lean/FORMALIZATION_MAP.md	Lean/FORMALIZATION_MAP.md	21057	2f2acda668efcb3866a034e3cea3c87261a9fb5b4ee83bc5ec9519855b051b3e	-	2026-08-14	not-present-at-revision	quotation-only
crouzeix-source-receipt/v1	JIN-565-LAKE-MANIFEST	JIN-V4-AUDITED	git-artifact	formalization	git:565b6a3e0659b6e0785f783b016c3f6d9f171fa5	https://github.com/jinshanmu/CrouzeixConjecture/blob/565b6a3e0659b6e0785f783b016c3f6d9f171fa5/Lean/lake-manifest.json	Lean/lake-manifest.json	3146	7b7a0d647c574ea8ba78af5952ddc5c16cad1f33ca87731bcf5176e24ac23226	-	2026-08-14	not-present-at-revision	quotation-only
crouzeix-source-receipt/v1	JIN-565-LEAN-TOOLCHAIN	JIN-V4-AUDITED	git-artifact	formalization	git:565b6a3e0659b6e0785f783b016c3f6d9f171fa5	https://github.com/jinshanmu/CrouzeixConjecture/blob/565b6a3e0659b6e0785f783b016c3f6d9f171fa5/Lean/lean-toolchain	Lean/lean-toolchain	25	db7bb24b756d745bbde83fe92718b51bd3625dae3701ba0f598d0eedcd3f3028	-	2026-08-14	not-present-at-revision	quotation-only
crouzeix-source-receipt/v1	JIN-565-MANUSCRIPT-AUDIT	JIN-V4-AUDITED	git-artifact	formalization	git:565b6a3e0659b6e0785f783b016c3f6d9f171fa5	https://github.com/jinshanmu/CrouzeixConjecture/blob/565b6a3e0659b6e0785f783b016c3f6d9f171fa5/Lean/MANUSCRIPT_AUDIT.md	Lean/MANUSCRIPT_AUDIT.md	14966	e49ec74f445ddfbfdc5275d04c8e2e340f64c1780af53e46c4ecfc273bc07826	-	2026-08-14	not-present-at-revision	quotation-only
crouzeix-source-receipt/v1	JIN-565-V4-TEX	JIN-V4-AUDITED	git-artifact	manuscript	git:565b6a3e0659b6e0785f783b016c3f6d9f171fa5	https://github.com/jinshanmu/CrouzeixConjecture/blob/565b6a3e0659b6e0785f783b016c3f6d9f171fa5/preprint/the_numerical_range_is_a_2_spectral_set_v4.tex	preprint/the_numerical_range_is_a_2_spectral_set_v4.tex	39727	5713de029c4a7486e25e86d16e6413d04929bdf5f92439c3237d4a930b1c9242	-	2026-08-14	not-present-at-revision	quotation-only
crouzeix-source-receipt/v1	JIN-565-VERIFY	JIN-V4-AUDITED	git-artifact	formalization	git:565b6a3e0659b6e0785f783b016c3f6d9f171fa5	https://github.com/jinshanmu/CrouzeixConjecture/blob/565b6a3e0659b6e0785f783b016c3f6d9f171fa5/Lean/verify.sh	Lean/verify.sh	58	f2dd83b698c8b13eda3afd6e160cf52a72721b6b6ee9a9eb6a2e3aca03b57eef	-	2026-08-14	not-present-at-revision	quotation-only
crouzeix-source-receipt/v1	JIN-HEAD-ANNMATH-TEX	JIN-ANNMATH	git-artifact	manuscript	git:9df07838327b988e3924453daa29c8cd726d34b0	https://github.com/jinshanmu/CrouzeixConjecture/blob/9df07838327b988e3924453daa29c8cd726d34b0/AnnMath/the_numerical_range_is_a_2_spectral_set.tex	AnnMath/the_numerical_range_is_a_2_spectral_set.tex	41611	abc7944c185fe34004de1367ba9d8d0c8a1912a0ac989230ed810feef8a11695	-	2026-08-14	not-present-at-revision	quotation-only
crouzeix-source-receipt/v1	JIN-HEAD-ARCHIVE	JIN-REPO-HEAD	git-artifact	history	git:9df07838327b988e3924453daa29c8cd726d34b0	https://github.com/jinshanmu/CrouzeixConjecture/archive/9df07838327b988e3924453daa29c8cd726d34b0.tar.gz	-	2905847	6fd68bb302a3bdbe68d8a4e540e6a2b4b973359f88a12bab4d4b0a2aab47a270	-	2026-08-14	not-present-at-revision	remote-only
crouzeix-source-receipt/v1	JIN-HEAD-AXIOM-AUDIT	JIN-REPO-HEAD	git-artifact	formalization	git:9df07838327b988e3924453daa29c8cd726d34b0	https://github.com/jinshanmu/CrouzeixConjecture/blob/9df07838327b988e3924453daa29c8cd726d34b0/Lean/AxiomAudit.lean	Lean/AxiomAudit.lean	13939	79eb2d447b9e565f3ee1297bf42b6dfcde2fac32bc79c621198ab4e3d5c8800c	-	2026-08-14	not-present-at-revision	quotation-only
crouzeix-source-receipt/v1	JIN-HEAD-FORMALIZATION-MAP	JIN-REPO-HEAD	git-artifact	formalization	git:9df07838327b988e3924453daa29c8cd726d34b0	https://github.com/jinshanmu/CrouzeixConjecture/blob/9df07838327b988e3924453daa29c8cd726d34b0/Lean/FORMALIZATION_MAP.md	Lean/FORMALIZATION_MAP.md	21057	2f2acda668efcb3866a034e3cea3c87261a9fb5b4ee83bc5ec9519855b051b3e	-	2026-08-14	not-present-at-revision	quotation-only
crouzeix-source-receipt/v1	JIN-HEAD-LAKE-MANIFEST	JIN-REPO-HEAD	git-artifact	formalization	git:9df07838327b988e3924453daa29c8cd726d34b0	https://github.com/jinshanmu/CrouzeixConjecture/blob/9df07838327b988e3924453daa29c8cd726d34b0/Lean/lake-manifest.json	Lean/lake-manifest.json	3146	7b7a0d647c574ea8ba78af5952ddc5c16cad1f33ca87731bcf5176e24ac23226	-	2026-08-14	not-present-at-revision	quotation-only
crouzeix-source-receipt/v1	JIN-HEAD-LEAN-TOOLCHAIN	JIN-REPO-HEAD	git-artifact	formalization	git:9df07838327b988e3924453daa29c8cd726d34b0	https://github.com/jinshanmu/CrouzeixConjecture/blob/9df07838327b988e3924453daa29c8cd726d34b0/Lean/lean-toolchain	Lean/lean-toolchain	25	db7bb24b756d745bbde83fe92718b51bd3625dae3701ba0f598d0eedcd3f3028	-	2026-08-14	not-present-at-revision	quotation-only
crouzeix-source-receipt/v1	JIN-HEAD-MANUSCRIPT-AUDIT	JIN-REPO-HEAD	git-artifact	formalization	git:9df07838327b988e3924453daa29c8cd726d34b0	https://github.com/jinshanmu/CrouzeixConjecture/blob/9df07838327b988e3924453daa29c8cd726d34b0/Lean/MANUSCRIPT_AUDIT.md	Lean/MANUSCRIPT_AUDIT.md	14966	e49ec74f445ddfbfdc5275d04c8e2e340f64c1780af53e46c4ecfc273bc07826	-	2026-08-14	not-present-at-revision	quotation-only
crouzeix-source-receipt/v1	JIN-HEAD-PROMPT	JIN-REPO-HEAD	git-artifact	prompt	git:9df07838327b988e3924453daa29c8cd726d34b0	https://github.com/jinshanmu/CrouzeixConjecture/blob/9df07838327b988e3924453daa29c8cd726d34b0/crouzeix_conjecture_prompt.txt	crouzeix_conjecture_prompt.txt	4106	0a0c3000b81efc4d9edc65ec3cd1d53df0d4e69b24bfee9fe0860301d853d6fc	-	2026-08-14	not-present-at-revision	quotation-only
crouzeix-source-receipt/v1	JIN-HEAD-README	JIN-REPO-HEAD	git-artifact	metadata	git:9df07838327b988e3924453daa29c8cd726d34b0	https://github.com/jinshanmu/CrouzeixConjecture/blob/9df07838327b988e3924453daa29c8cd726d34b0/README.md	README.md	1411	2dae084ef6ba958c5e8adcb66955506128a95809908a55eae691a66b5e23d075	-	2026-08-14	not-present-at-revision	quotation-only
crouzeix-source-receipt/v1	JIN-HEAD-V4-TEX	JIN-V4-HEAD	git-artifact	manuscript	git:9df07838327b988e3924453daa29c8cd726d34b0	https://github.com/jinshanmu/CrouzeixConjecture/blob/9df07838327b988e3924453daa29c8cd726d34b0/preprint/the_numerical_range_is_a_2_spectral_set_v4.tex	preprint/the_numerical_range_is_a_2_spectral_set_v4.tex	70088	27f77d75a02faa39a613e18a6b52f3548195b73ceee4996ced38f54319a00315	-	2026-08-14	not-present-at-revision	quotation-only
crouzeix-source-receipt/v1	JIN-HEAD-VERIFY	JIN-REPO-HEAD	git-artifact	formalization	git:9df07838327b988e3924453daa29c8cd726d34b0	https://github.com/jinshanmu/CrouzeixConjecture/blob/9df07838327b988e3924453daa29c8cd726d34b0/Lean/verify.sh	Lean/verify.sh	58	f2dd83b698c8b13eda3afd6e160cf52a72721b6b6ee9a9eb6a2e3aca03b57eef	-	2026-08-14	not-present-at-revision	quotation-only
crouzeix-source-receipt/v1	JIN-PREPRINTS-V1-METADATA	JIN-PREPRINTS-V1	dated-page	metadata	sha256:e0684068a5a9a42b18b6de7a2ef751c6d0aa019e86fe9fb43eb15046cea9be05	https://www.preprints.org/manuscript/202607.1919/v1	-	-	-	-	2026-08-14	unknown	metadata-only
crouzeix-source-receipt/v1	LS-ARXIV-V1-ATOM	LS-ARXIV-V1	arxiv-artifact	metadata	arxiv:2608.03841v1	https://export.arxiv.org/api/query?id_list=2608.03841v1	atom.xml	1966	d03dacfd336be49895a68392a39154fb2ed9339a58b868ac515a66d6ba8beb6d	-	2026-08-14	arxiv-nonexclusive	quotation-only
crouzeix-source-receipt/v1	LS-ARXIV-V1-PDF	LS-ARXIV-V1	arxiv-artifact	pdf	arxiv:2608.03841v1	https://arxiv.org/pdf/2608.03841v1	paper.pdf	274966	f08667c21f62c170afa4470d7cb0b76dc72341f5feb669ff4fb931dcc989f7cb	-	2026-08-14	arxiv-nonexclusive	quotation-only
crouzeix-source-receipt/v1	LS-ARXIV-V1-SOURCE-ARCHIVE	LS-ARXIV-V1	arxiv-artifact	source	arxiv:2608.03841v1	https://export.arxiv.org/e-print/2608.03841v1	source.tar.gz	7330	b4b6ddcdd726897826db500743e06649eddee5de5f32ded53e0d1adaa5f512c9	-	2026-08-14	arxiv-nonexclusive	quotation-only
crouzeix-source-receipt/v1	LS-ARXIV-V1-TEX	LS-ARXIV-V1	arxiv-artifact	manuscript	arxiv:2608.03841v1	https://export.arxiv.org/e-print/2608.03841v1	CrouzeixConjecturev2.tex	18783	20aad7aedd831e32e8a8b452fc51542185251a052830620c2201ff9863709f0a	-	2026-08-14	arxiv-nonexclusive	quotation-only
crouzeix-source-receipt/v1	RANSFORD-SCHWENNINGER-2018	RANSFORD-SCHWENNINGER-2018	dated-page	prerequisite	doi:10.1137/17M1143757	https://doi.org/10.1137/17M1143757	-	-	-	-	2026-08-14	publisher-record	metadata-only
crouzeix-source-receipt/v1	SCHWENNINGER-DEVRIES-2025	SCHWENNINGER-DEVRIES-2025	dated-page	prerequisite	doi:10.1007/s00020-025-02800-2	https://doi.org/10.1007/s00020-025-02800-2	-	-	-	-	2026-08-14	publisher-record	metadata-only
