key	value
capture_state	captured-and-offline-verifiable
captured_at_utc	2026-08-15T18:11:47Z
harp_commit	fc2081853482f8e7354e401e8bbb239452b78ef9
lean4_commit	57eb1ae3d0d440f29d1f35e9699c6df4d46c2620
closure_max_depth	1
accepted_root_count	4
accepted_child_count	6
deferred_child_count	10
not_needed_child_count	24
artifact_count	12
pdftotext_identity	pdftotext version 26.07.0
acquisition_script_sha256	sha256:84e954cb6d7497fe613fe3a716f4c4627a67282118dc65975bbad4a176c9651f
source_lock_sha256	sha256:cb0ec8dafde3419b045aa768c39640e9dd50cbb6dca7e859826c17824cebc8bf
closure_sha256	sha256:1353c7c18e85adc06dfad83737d29dde20bfb2a3546446f9e7613090af89fc7c
manifest_sha256	sha256:a04d526239f1b366930596d81bf8d266ed66de103d55250b5c22529de7e56e13
artifact_inventory_sha256	sha256:b76e2bc0cae4c6a353763aa1755dfb3e9072a89d2bc138f3df84d79b4b1dea45
