claim_id	label	source_id	statement	evidence_locator	access_status	boundary
CODEX-CONT-01	CLAIM	OPENAI-ARC-ARTICLE	OpenAI reports 13.3% for the official ARC harness and 38.3% for a Responses harness with retained reasoning and compaction, with roughly sixfold fewer output tokens.	https://openai.com/index/how-two-settings-tripled-our-arc-agi-3-scores/	blocked-live-403-user-provided	Company-reported aggregate result supplied by the user; not independently reproduced or re-fetched in this run.
CODEX-CONT-02	INFERENCE	OPENAI-ARC-ARTICLE	The reported combined intervention closes about 72% of the gap from the 13.3% baseline to the estimated 48% human average.	Derived arithmetic from user-supplied 13.3%, 38.3%, and 48% figures	user-provided	Arithmetic interpretation only; the human estimate and compared run populations remain article claims.
CODEX-CONT-03	EVIDENCE	ARC-AGI3-BENCH	The ordinary benchmark path stores visible messages and removes the oldest user/assistant pair when estimated context exceeds its limit.	evidence/implementations/arc-agi-3/snapshot/benchmarking/agent.py:32-49,622-641,707-728	inspected-pinned-source	Behavior at commit 86d72170ce3155551712a9fafd290bab471d6eee; no benchmark run executed.
CODEX-CONT-04	EVIDENCE	ARC-AGI3-BENCH	The server-state path sends only pending observations after the first request, advances previous_response_id only after success, and disables local trimming.	evidence/implementations/arc-agi-3/snapshot/benchmarking/agent.py:67-75,435-454,547-583,646-663	inspected-pinned-source	Behavior at commit 86d72170ce3155551712a9fafd290bab471d6eee.
CODEX-CONT-05	EVIDENCE	ARC-AGI3-BENCH	The Responses adapter defaults store=true and translates compact_threshold into context_management compaction configuration.	evidence/implementations/arc-agi-3/snapshot/benchmarking/runtime_adapters.py:69-114	inspected-pinned-source	Behavior at commit 86d72170ce3155551712a9fafd290bab471d6eee; provider service internals remain opaque.
CODEX-CONT-06	EVIDENCE	CODEX-REPO	Codex requests reasoning.encrypted_content and keeps an ordered typed ContextManager with history version, token accounting, reference context, and world-state baseline.	evidence/implementations/codex-rsi/snapshot/codex-rs/core/src/client.rs:860-929; codex-rs/core/src/context_manager/history.rs:39-73	inspected-pinned-source	Behavior at commit 1e85ca099e4265bf89f4016772d299816e231bb3; encrypted content is opaque to the client.
CODEX-CONT-07	EVIDENCE	CODEX-REPO	Codex uses previous_response_id only for a valid incremental WebSocket request and otherwise retains the full logical request as the recovery representation.	evidence/implementations/codex-rsi/snapshot/codex-rs/core/src/client.rs:1612-1680	inspected-pinned-source	Client transport behavior only; no claim that the service preserves a live KV cache.
CODEX-CONT-08	EVIDENCE	CODEX-REPO	World state is recomputed as typed sections and rendered against a persisted baseline; history rewrites clear that baseline.	evidence/implementations/codex-rsi/snapshot/codex-rs/core/src/context_manager/history.rs:92-113,190-208; codex-rs/core/src/context/world_state/mod.rs	inspected-pinned-source	Current source behavior at the pinned commit.
CODEX-CONT-09	EVIDENCE	CODEX-REPO	Local compaction retains a bounded recent-user-message budget, installs replacement history with context-baseline handling, and warns that repeated compaction may reduce accuracy.	evidence/implementations/codex-rsi/snapshot/codex-rs/core/src/compact.rs:55-84,348-393	inspected-pinned-source	Local textual compaction is lossy; this does not establish semantic fidelity.
CODEX-CONT-10	EVIDENCE	CODEX-REPO	Remote compaction v2 retains bounded selected messages and one opaque compaction output, with a 64k retained-message budget and 10k per-agent-message cap at the pinned revision.	evidence/implementations/codex-rsi/snapshot/codex-rs/core/src/compact_remote_v2.rs:56-62,442-514	inspected-pinned-source	Constants and feature selection may change after the pinned commit.
CODEX-CONT-11	EVIDENCE	CODEX-REPO	Rollout reconstruction scans newest-to-oldest for the latest replacement-history checkpoint and replays only the surviving suffix plus required metadata.	evidence/implementations/codex-rsi/snapshot/codex-rs/core/src/session/rollout_reconstruction.rs:112-187,286-294	inspected-pinned-source	Reconstructs logical model state, not arbitrary external side effects.
CODEX-CONT-12	EVIDENCE	CODEX-REPO	Codex cross-thread memory is a separate two-stage pipeline: per-rollout raw-memory and summary extraction, then globally serialized filesystem consolidation.	evidence/implementations/codex-rsi/snapshot/codex-rs/memories/write/src/phase1.rs:50-108,149-220; codex-rs/memories/write/src/phase2.rs:46-220	inspected-pinned-source	Separate from active-thread reasoning retention and compaction.
CODEX-CONT-13	EVIDENCE	OPENAI-COMPACTION-DOC	The official guide describes server-side and standalone compaction, opaque encrypted compaction items, previous_response_id chaining, and a warning not to manually prune a managed chain.	https://developers.openai.com/api/docs/guides/compaction#server-side-compaction	fetched-live-2026-08-02	Captured response digest 272289a464456803422a33ff5091dc3a860196dc0de3a00d2550cb0dad3eb3ee; mutable documentation.
CODEX-CONT-14	CLAIM	OPENAI-RESPONSES-FEATURE	OpenAI describes encrypted reasoning items as reusable across requests and associated with lower token use and improved continuity.	https://openai.com/index/new-tools-and-features-in-the-responses-api/	blocked-live-403-user-provided	Company claim supplied by the user; not independently re-fetched in this run.
CODEX-CONT-15	MISSING	OPENAI-ARC-ARTICLE	The combined ARC result does not expose a matched reasoning-retention-only versus compaction-only contribution breakdown.	User-provided article analysis	user-provided	Resolve with a matched 2x2 ablation over identical games, seeds, action budgets, and model settings.
CODEX-CONT-16	MISSING	CODEX-REPO	previous_response_id does not establish whether the serving backend keeps live KV state, reconstructs stored items, uses a prefix cache, or combines these mechanisms.	Client source and API contract	inspected-pinned-source	Resolve with cached-token, TTFT, connection-loss, and backend-trace measurements.
