source_id	artifact_type	status	local_path	source_url	resolved_identity	bytes	sha256	license_status	redistribution_status	note
LEANSTRAL-ANNOUNCEMENT	dated-html	captured	evidence/lean_proof_engineering/metadata/leanstral-1.5-announcement.html	https://mistral.ai/news/leanstral-1-5/	observed:2026-08-15;displayed-date:2026-07-02	248201	sha256:d7c429e673cae9793af88f1a6b6085a6e59eff0bcf5f7b61ae670c450d6172c2	no page license identified; Mistral terms apply	restricted; preserved as dated first-party evidence	Dated first-party announcement observation; not an immutable product specification.
LEAN4AGENT-ARXIV	pdf	captured	evidence/lean_proof_engineering/artifacts/lean4agent-2606.06523v2.pdf	https://arxiv.org/pdf/2606.06523v2	arXiv:2606.06523v2	1049388	sha256:30f4eebf4dc07d9caad1cfe51c3a4ac6053d86c7bf9d0c83df1a198c2e549cb4	CC BY 4.0	permitted with attribution	Revision-pinned paper PDF and source of record.
LEAN4AGENT-ARXIV	abstract-html	captured	evidence/lean_proof_engineering/metadata/lean4agent-2606.06523v2-arxiv.html	https://arxiv.org/abs/2606.06523v2	arXiv:2606.06523v2	43285	sha256:aa0f418df553d25bc59f58e9b5590e21c985aecf0a0688024dfbe1c879f998a6	CC BY 4.0	permitted with attribution	Revision-pinned arXiv abstract and license metadata.
LEAN4-REPOSITORY	commit-metadata	captured	evidence/lean_proof_engineering/metadata/lean4-commit-57eb1ae3d0d440f29d1f35e9699c6df4d46c2620.json	https://api.github.com/repos/leanprover/lean4/commits/57eb1ae3d0d440f29d1f35e9699c6df4d46c2620	git:57eb1ae3d0d440f29d1f35e9699c6df4d46c2620	5475	sha256:10c1ef210ed81d4dcdea57f5e25c9274e0fa0ce8c03bf5fb17fc40227ef1947f	GitHub API metadata; embedded Lean source is Apache-2.0	preserved for source identity	Commit metadata records the resolved immutable Lean repository identity.
LEAN4AGENT-ARXIV	pdftotext-raw	derived	evidence/lean_proof_engineering/text/lean4agent-2606.06523v2.txt	https://arxiv.org/pdf/2606.06523v2	derived-from-arXiv:2606.06523v2	108724	sha256:b2423e3f91048d1cd2b35292adf0ecd6160c94db6ed6a19ca8ca13a846bc4f31	CC BY 4.0	derived from permitted source	pdftotext -raw; PDF is source of record
LEAN4-README	readme	captured	evidence/lean_proof_engineering/metadata/lean4-README.md	https://raw.githubusercontent.com/leanprover/lean4/57eb1ae3d0d440f29d1f35e9699c6df4d46c2620/README.md	git:57eb1ae3d0d440f29d1f35e9699c6df4d46c2620:README.md	795	sha256:0e6af638fd5c19432395f8874498be337b378a5f1cc37d7732be7229cb140733	Apache-2.0	permitted with license preservation	Upstream README bytes captured at the resolved immutable Lean commit.
LEAN4-LICENSE	license	captured	evidence/lean_proof_engineering/metadata/lean4-LICENSE	https://raw.githubusercontent.com/leanprover/lean4/57eb1ae3d0d440f29d1f35e9699c6df4d46c2620/LICENSE	git:57eb1ae3d0d440f29d1f35e9699c6df4d46c2620:LICENSE	9160	sha256:8b28515ffffc5c0fe2807d8ae3735b00b324d9b7ce807dd63ff6ac8922fbce7e	Apache-2.0	permitted with license preservation	Upstream license bytes captured at the resolved immutable Lean commit.
LEAN-LEARN	dated-html	captured	evidence/lean_proof_engineering/metadata/learn-lean.html	https://lean-lang.org/learn/	observed:2026-08-15	140888	sha256:ec6fe2dea63cee176515792f72e91ada83aa72688b13d3be51a746a913b082b1	no explicit page license identified	restricted; preserved as dated first-party evidence	Dated Learn Lean landing-page observation; outgoing closure is bounded to depth one.
LEAN-FPIL	dated-html	captured	evidence/lean_proof_engineering/metadata/functional-programming-in-lean.html	https://lean-lang.org/functional_programming_in_lean/	observed:2026-08-15	72163	sha256:8b6dcffb1f04c653525b63e3fd3769a3501cef7e7c0ebaa4f385e41e633524fd	copyright Microsoft Corporation and Lean FRO; no explicit page license identified	restricted; preserved as dated documentation evidence	Allowed direct Learn Lean child; no deeper links were fetched.
LEAN-TPIL	dated-html	captured	evidence/lean_proof_engineering/metadata/theorem-proving-in-lean4.html	https://lean-lang.org/theorem_proving_in_lean4/	observed:2026-08-15	44333	sha256:2f22e8a292535dfec457a0adf2e5e68e4128e4354497c6697a5704f91a3f509f	no explicit page license identified	restricted; preserved as dated documentation evidence	Allowed direct Learn Lean child; no deeper links were fetched.
LEAN-MIL	dated-html	captured	evidence/lean_proof_engineering/metadata/mathematics-in-lean.html	https://leanprover-community.github.io/mathematics_in_lean/	observed:2026-08-15	13331	sha256:37d488d1d49d8eab27604074eca6f8805cd375b41feef98341e93360d7e6b7be	CC BY 4.0	permitted with attribution	Allowed direct Learn Lean child; no deeper links were fetched.
LEAN-REFERENCE	dated-html	captured	evidence/lean_proof_engineering/metadata/lean-reference.html	https://lean-lang.org/doc/reference/latest/	observed:2026-08-15	89094	sha256:6e0fffc8572b609541925662309fee6e9fcb9505a6308eb48f853200788d4522	no explicit page license identified	restricted; preserved as dated documentation evidence	Allowed direct Lean reference landing page; no deeper links were fetched.
