path	action	source	owner	rationale
.gitignore	adapt	0424501a	integration	Integrate committed textbook delta while preserving current mainline.
Cargo.lock	adapt	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
Cargo.toml	adapt	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
atlas/dist/harp-atlas.html	regenerate	0424501a	integration	Derive from the final integrated inputs; do not import historical output.
atlas/dist/harp-atlas.receipt.json	regenerate	0424501a	integration	Derive from the final integrated inputs; do not import historical output.
atlas/src/app/math.test.ts	adapt	0424501a	web	Integrate committed textbook delta while preserving current mainline.
atlas/src/app/routes.test.ts	adapt	0424501a	web	Integrate committed textbook delta while preserving current mainline.
atlas/src/app/routes.ts	adapt	0424501a	web	Integrate committed textbook delta while preserving current mainline.
atlas/src/content/canonical.test.ts	adapt	0424501a	web	Integrate committed textbook delta while preserving current mainline.
atlas/src/content/contracts.ts	adapt	0424501a	web	Integrate committed textbook delta while preserving current mainline.
atlas/src/content/generated/corpus.json	regenerate	0424501a	integration	Derive from the final integrated inputs; do not import historical output.
atlas/src/content/types.ts	adapt	0424501a	web	Integrate committed textbook delta while preserving current mainline.
atlas/tests/static-export.test.mjs	adapt	0424501a	web	Integrate committed textbook delta while preserving current mainline.
content/crouzeix_textbook/compatibility_routes.json	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
content/crouzeix_textbook/coverage.json	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
content/crouzeix_textbook/exercises.json	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
crates/harp/Cargo.toml	adapt	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/src/context_control/episode.rs	exclude	0424501a	Rust publication	Unrelated patch-equivalent context-control fix already on mainline.
crates/harp/src/corpus/contracts.rs	adapt	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/src/corpus/mod.rs	adapt	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/src/corpus/obsidian.rs	adapt	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/src/corpus/render.rs	adapt	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/src/corpus/tests.rs	adapt	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/src/crouzeix_textbook/contract.rs	take	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/src/crouzeix_textbook/diagnostic.rs	take	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/src/crouzeix_textbook/evidence.rs	take	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/src/crouzeix_textbook/lean.rs	take	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/src/crouzeix_textbook/markdown.rs	take	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/src/crouzeix_textbook/mod.rs	take	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/src/crouzeix_textbook/publish.rs	take	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/src/fs.rs	adapt	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/src/fs/descriptor.rs	take	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/src/fs/descriptor/secure.rs	take	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/src/fs/descriptor/unsupported.rs	take	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/src/fs/secure.rs	take	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/src/fs/unsupported.rs	take	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/src/lib.rs	adapt	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/src/main.rs	adapt	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/tests/cli.rs	adapt	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/tests/crouzeix_textbook.rs	take	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/tests/fixtures/crouzeix_textbook/valid/content/crouzeix_textbook/compatibility_routes.json	take	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/tests/fixtures/crouzeix_textbook/valid/content/crouzeix_textbook/coverage.json	take	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/tests/fixtures/crouzeix_textbook/valid/content/crouzeix_textbook/exercises.json	take	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/tests/fixtures/crouzeix_textbook/valid/fixture/Compile.lean	take	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/tests/fixtures/crouzeix_textbook/valid/knowledge/crouzeix_textbook/claim_evidence_ledger.md	take	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/tests/fixtures/crouzeix_textbook/valid/knowledge/crouzeix_textbook/part_01_linear_structure/01_objects_and_representations.md	take	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/tests/fixtures/crouzeix_textbook/valid/knowledge/crouzeix_textbook/part_01_linear_structure/02_vector_spaces_and_subspaces.md	take	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/tests/fixtures/crouzeix_textbook/valid/knowledge/crouzeix_textbook/reading_guide.md	take	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/tests/fixtures/crouzeix_textbook/valid/knowledge/crouzeix_textbook/source_registry.md	take	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/tests/lean_library.rs	adapt	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/tests/support/crouzeix_textbook_wave3_contract.rs	take	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
crates/harp/tests/support/crouzeix_textbook_wave4_contract.rs	take	0424501a	Rust publication	Integrate committed textbook delta while preserving current mainline.
docs/import-receipt.md	regenerate	0424501a	integration	Derive from the final integrated inputs; do not import historical output.
docs/product-contract.md	adapt	0424501a	integration	Integrate committed textbook delta while preserving current mainline.
docs/superpowers/plans/2026-08-23-crouzeix-textbook-deepening-index.md	take	0424501a	integration	Integrate committed textbook delta while preserving current mainline.
docs/superpowers/plans/2026-08-23-crouzeix-textbook-wave-0-publication-integrity.md	take	0424501a	integration	Integrate committed textbook delta while preserving current mainline.
docs/superpowers/plans/2026-08-23-crouzeix-textbook-wave-1-chapter-33.md	take	0424501a	integration	Integrate committed textbook delta while preserving current mainline.
docs/superpowers/plans/2026-08-23-crouzeix-textbook-wave-2-jin.md	take	0424501a	integration	Integrate committed textbook delta while preserving current mainline.
docs/superpowers/plans/2026-08-23-crouzeix-textbook-wave-3-lorist-schwenninger.md	take	0424501a	integration	Integrate committed textbook delta while preserving current mainline.
docs/superpowers/plans/2026-08-23-crouzeix-textbook-wave-4-common-machinery.md	take	0424501a	integration	Integrate committed textbook delta while preserving current mainline.
docs/superpowers/plans/2026-08-23-crouzeix-textbook-wave-5-analysis-operator.md	take	0424501a	integration	Integrate committed textbook delta while preserving current mainline.
docs/superpowers/plans/2026-08-23-crouzeix-textbook-wave-6-foundations.md	take	0424501a	integration	Integrate committed textbook delta while preserving current mainline.
docs/superpowers/plans/2026-08-23-crouzeix-textbook.md	take	0424501a	integration	Integrate committed textbook delta while preserving current mainline.
docs/superpowers/plans/2026-08-26-crouzeix-textbook-completion-issue-map.md	take	0424501a	integration	Integrate committed textbook delta while preserving current mainline.
docs/superpowers/specs/2026-08-23-crouzeix-textbook-deepening-design.md	take	0424501a	integration	Integrate committed textbook delta while preserving current mainline.
docs/superpowers/specs/2026-08-23-crouzeix-textbook-design.md	take	0424501a	integration	Integrate committed textbook delta while preserving current mainline.
docs/superpowers/specs/2026-08-26-crouzeix-textbook-completion-prd.md	take	0424501a	integration	Integrate committed textbook delta while preserving current mainline.
docs/superpowers/specs/2026-08-27-crouzeix-textbook-jin-route-contract.md	take	0424501a	integration	Integrate committed textbook delta while preserving current mainline.
docs/superpowers/specs/2026-08-27-crouzeix-textbook-ls-comparison-contract.md	take	0424501a	integration	Integrate committed textbook delta while preserving current mainline.
docs/superpowers/specs/2026-08-28-crouzeix-textbook-common-machinery-contract.md	take	0424501a	integration	Integrate committed textbook delta while preserving current mainline.
formalization/lean/Crouzeix/Harp/Consequences.lean	exclude	35bfda85	proof/publication	Preserve certified mainline bytes; specialize textbook bundle to the existing provider universe.
formalization/lean/Crouzeix/Harp/FiniteAtomicDilation.lean	exclude	35bfda85	proof/publication	Preserve certified mainline bytes; specialize textbook bundle to the existing provider universe.
formalization/lean/Crouzeix/Harp/FiniteAtomicL2Dilation.lean	exclude	35bfda85	proof/publication	Preserve certified mainline bytes; specialize textbook bundle to the existing provider universe.
formalization/lean/Crouzeix/Harp/MainTheorem.lean	exclude	35bfda85	proof/publication	Preserve certified mainline bytes; specialize textbook bundle to the existing provider universe.
formalization/lean/CrouzeixConjecture/Sharpness.lean	adapt	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Correspondence.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/ExportReceipt.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part01/Chapter01.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part01/Chapter02.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part01/Chapter03.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part01/Chapter04.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part01/Chapter05.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part01/Chapter06.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part02/Chapter07.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part02/Chapter08.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part02/Chapter09.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part02/Chapter10.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part02/Chapter11.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part02/Chapter12.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part03/Chapter13.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part03/Chapter14.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part03/Chapter15.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part03/Chapter16.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part03/Chapter17.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part03/Chapter18.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part04/Chapter19.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part04/Chapter20.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part04/Chapter21.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part04/Chapter22.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part04/Chapter23.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part04/Chapter24.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part05/Chapter25.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part05/Chapter26.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part05/Chapter27.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part05/Chapter28.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part06/Chapter29.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part06/Chapter30.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part06/Chapter31.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part06/Chapter32.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
formalization/lean/CrouzeixTextbook/Part06/Chapter33.lean	take	0424501a	proof/publication	Committed Wave4 mathematical and correspondence closure; no dirty source import.
