source_id	edited_object	persistence	evaluator	update_operator	model_weight_change	evidence_class	comparison_claim_ceiling
GOOD-1965	machine intelligence	hypothetical successor redesign	none; conceptual argument	hypothetical machine self-redesign	unspecified	conceptual	speculative intelligence-explosion framing, not an experiment
YUDKOWSKY-2008	cognitive machinery	hypothetical successor system	none; essay argument	recursive self-modification	unspecified	conceptual	optimization-dynamics framing without experimental validation
ASP	code-repair model weights	trained checkpoint	BUGSOURCEBENCH tests	anchored generator-fixer self-play training	yes	author-reported	bounded code-repair self-play gains, not harness improvement
ABSOLUTE-ZERO	reasoning model weights	trained checkpoint	code executor and task benchmarks	proposer-solver reinforcement learning	yes	author-reported	zero-data reasoning adaptation under executable verification
SELF-REWARDING	instruction policy and judge weights	checkpoint per iteration	self-judgments and instruction benchmarks	self-instruction plus iterative DPO	yes	author-reported	instruction and reward-model gains, not harness recursion
SPIN	language-model weights	checkpoint per iteration	human-versus-self response objective and benchmarks	iterative self-play fine-tuning	yes	author-reported	self-play weight gains bounded by a fixed human distribution
ACE	context playbook	cross-task context artifact	task reward and reflective feedback	incremental reflection, curation, and update	no	author-reported	learned-context gains with cost and benchmark limits
MCE	skills and context-management policy	cross-task skill library	base-task benchmark outcomes	bi-level skill and context evolution	no	author-reported	bi-level context evolution without a successor-producer test
META-HARNESS	end-to-end model harness	filesystem archive of candidates	search tasks and held-out tasks	outer-loop proposal, execution, and selection	no; base model fixed	author-reported	held-out harness gains without matched recursive gain
AI-SCIENTIST	research ideas, plans, code, results, figures, and manuscripts	saved code, results, and paper	experiment metrics and review signals	idea-to-experiment-to-paper workflow	no	author-reported	end-to-end research automation in the reported scope
SCIENTISTONE	research plan and evidence chain	durable chain-of-evidence artifacts	integrity audit and research outcomes	three-stage evidence-grounded workflow	no	author-reported	research workflow and integrity results, not RSI
AUTODATA	synthetic training data	saved dataset and downstream checkpoint	downstream model performance	agentic self-instruct data generation	yes; downstream training	author-reported	synthetic-data gains under a strong-solver boundary
ADAS	agent program	retained program candidate	held-out agent benchmarks	meta-agent program generation and selection	no	author-reported	agent-program search and transfer under reported budgets
SELF-REFINE	current task output	same episode only	task-specific feedback and metrics	feedback then refinement	no	author-reported	within-episode task refinement with no persistent adaptation
AFLOW	agent workflow graph	retained workflow candidate	task benchmark score	MCTS-guided workflow generation	no	author-reported	workflow-search gains, not recursive improvement
STOP	LM-calling improver code	improver generation	meta-utility on downstream programs	self-application of the improver	no; language model fixed	author-reported	bounded recursive scaffolding optimization, not full RSI
SELF-HARNESS	model-specific harness	accepted harness iteration	held-in and held-out tasks	trace mining, minimal edits, and promotion	no; task model fixed	author-reported	measured harness gain without a next-cycle improver test
PROMPTBREEDER	task prompts and mutation prompts	evolutionary population	task fitness	mutation-prompt and task-prompt evolution	no	author-reported	prompt evolution within a fixed prompting topology
GEPA	compound-system prompts	Pareto archive	benchmark score and textual feedback	reflective mutation, merge, and selection	no	author-reported	reflective prompt evolution under evaluator-dependent limits
ALPHAEVOLVE	algorithm implementation	program database	executable problem evaluator	LLM edits plus evolutionary selection	no	author-reported	program discoveries inside fixed problems and evaluators
SHINKAEVOLVE	program and search scaffold	island archive	tests and problem score	LLM mutation, crossover, and island selection	no	author-reported	sample-efficient program evolution in bounded tasks
THETAEVOLVE	program environment and optional adapters	candidate archive and optional checkpoint	open-problem reward	program evolution with optional reward-shaped training	optional	author-reported	test-time search and optional training under evaluator caveats
