source_id	depth	cohort	title	artifact_kind	status	local_path	source_url	original_locator	resolved_version	bytes	sha256	text_path	text_bytes	text_sha256	references_path	references_bytes	references_sha256	reference_status	license_status	license_locator	note
ABSOLUTE-ZERO	1	preprint-watchlist	Absolute Zero: Reinforced Self-play Reasoning with Zero Data	pdf_arxiv	fetched	evidence/weng/artifacts/pdf/absolute-zero.pdf	https://arxiv.org/pdf/2505.03335	https://arxiv.org/abs/2505.03335	arXiv:2505.03335	5392851	sha256:6217ccee964c70e42fba116004ae23400c11d2ecc687c37aed062c3689098e18	evidence/weng/text/absolute-zero.txt	193431	sha256:f92c54b2267a693a4d7c157f90b411f13ed1b86c670791f7815d79e385ef0de4	evidence/weng/references/absolute-zero.txt	119300	sha256:874db87e435ddae63262093cce0bc1c969fa9316e5efb7ae9b58dbd1ba934392	references_extracted	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2505.03335	; claim ceiling: Identity only
ACE	1	accepted-frontier	Agentic Context Engineering: Evolving Contexts for Self-Improving Language Models	pdf_arxiv	fetched	evidence/weng/artifacts/pdf/ace.pdf	https://arxiv.org/pdf/2510.04618	https://iclr.cc/virtual/2026/poster/10008343	arXiv:2510.04618	2313268	sha256:51050ced82df75c143b151262d5af8763916968ca50374bd8ff778f40552b0ad	evidence/weng/text/ace.txt	111959	sha256:19ca2ff5d62fb4e50f7d6d224a3f3564cf8babc0c104aa6577de66b9b413301d	evidence/weng/references/ace.txt	72793	sha256:11006c1c1ef0de4349e77f2d1797266dac8a435887e2bdfc5e1407d03fb2e8c6	references_extracted	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2510.04618	; claim ceiling: Official abstract and venue identity
ADAS	1	established	Automated Design of Agentic Systems	pdf_direct	fetched	evidence/weng/artifacts/pdf/adas.pdf	https://proceedings.iclr.cc/paper_files/paper/2025/file/36b7acf6f6010652b3f2a433774a66fe-Paper-Conference.pdf	https://proceedings.iclr.cc/paper_files/paper/2025/file/36b7acf6f6010652b3f2a433774a66fe-Paper-Conference.pdf	arXiv:2408.08435v2	553724	sha256:993e4211a244e2f4ad911e01427a60a16875f340fe1aaf3d125a7a71cf28c3fe	evidence/weng/text/adas.txt	119069	sha256:eee60541b5e6359cf3a223e2a42a0a55060bbd1dbe10363a4345b0fd60ea777d	evidence/weng/references/adas.txt	74098	sha256:e3f8b5d4a2a02d8bb51a99ab88eba37f4563b90521928de639e40afe22a03564	references_extracted	unknown	https://proceedings.iclr.cc/paper_files/paper/2025/file/36b7acf6f6010652b3f2a433774a66fe-Paper-Conference.pdf	; claim ceiling: Abstract and inspected official-paper mechanism claims
AFLOW	1	established	AFlow: Automating Agentic Workflow Generation	pdf_arxiv	fetched	evidence/weng/artifacts/pdf/aflow.pdf	https://arxiv.org/pdf/2410.10762	https://openreview.net/forum?id=z5uVAKwmjf	arXiv:2410.10762	1342681	sha256:9be15f695f11dd5bc634c1c026bd2270eff3d3c4a53c4d9b51c012b7bd03d521	evidence/weng/text/aflow.txt	117631	sha256:43feb54ad9a38253442b218a296a400cfb779fed166d287da78fd4fad25e606b	evidence/weng/references/aflow.txt	78979	sha256:88669a68fb1983af7c73d2b42861326af947bfdcdbcb7a34e113b65a17e48d32	references_extracted	http://arxiv.org/licenses/nonexclusive-distrib/1.0/	https://export.arxiv.org/api/query?id_list=2410.10762	; claim ceiling: Official-paper abstract and inspected method passage
AHE	1	preprint-watchlist	Agentic Harness Engineering: Observability-Driven Automatic Evolution of Coding-Agent Harnesses	pdf_arxiv	fetched	evidence/weng/artifacts/pdf/ahe.pdf	https://arxiv.org/pdf/2604.25850v4	https://arxiv.org/abs/2604.25850	arXiv:2604.25850v4	1432986	sha256:299f2633b4c13db7bed52434b4db7c48ea621993581014d30e7bcd036d3464df	evidence/weng/text/ahe.txt	129144	sha256:0778bde1beb58f88b599c895bc8f087218dba63764f6e8937ae2b3298a2097cb	evidence/weng/references/ahe.txt	95970	sha256:ee6b49dca8f3bf6e6f4e3168de80411b5166e7574336a12572bea8c1cfb1d68f	references_extracted	http://arxiv.org/licenses/nonexclusive-distrib/1.0/	https://export.arxiv.org/api/query?id_list=2604.25850	; claim ceiling: Abstract mechanism, measurements, transfer claim, and ablation
AI-SCIENTIST	1	accepted-frontier	Towards end-to-end automation of AI research	html	fetched	evidence/weng/artifacts/html/ai-scientist.html	https://www.nature.com/articles/s41586-026-10265-5	https://www.nature.com/articles/s41586-026-10265-5	Nature 651:914-919 (2026)	394055	sha256:5e45c538ce490fab6a145f62528824d2ad91d4ec62a053fabd0e8017c772993e	evidence/weng/text/ai-scientist.txt	61859	sha256:178cf759eab9afc6012ce172fe3eb72a396a53e94b29c3a2fc12b267b85d0931	evidence/weng/references/ai-scientist.txt	18924	sha256:2a13526fb4c8c3926e62b31a0d0ecf4fe24795ab96435fd60fe1751cd33c099f	references_extracted	http://creativecommons.org/licenses/by/4.0/	https://www.nature.com/articles/s41586-026-10265-5	; claim ceiling: Article claims, methods, results, and limitations at inspected locators
ALPHAEVOLVE	1	preprint-watchlist	AlphaEvolve: A coding agent for scientific and algorithmic discovery	pdf_arxiv	fetched	evidence/weng/artifacts/pdf/alphaevolve.pdf	https://arxiv.org/pdf/2506.13131v1	https://arxiv.org/abs/2506.13131	arXiv:2506.13131v1	3525764	sha256:f092c8cbd65da89951ee6496374da9a54963f9035758c25ac6e4625f506df9ad	evidence/weng/text/alphaevolve.txt	132748	sha256:0e3b0a20222954bcc86ca1e8db30e618c9d2c1f6b75e35beb126fcc71757a7a4	evidence/weng/references/alphaevolve.txt	54103	sha256:ffc8b106b4e3173d37233fd04f3fd53acc8561ca2dc50242479dc48a98b7d53e	references_extracted	http://creativecommons.org/licenses/by-nc-nd/4.0/	https://export.arxiv.org/api/query?id_list=2506.13131	; claim ceiling: Abstract mechanism and author-reported applications
ANTHROPIC-RSI	1	mutable-position	When AI Builds Itself	html	fetched	evidence/weng/artifacts/html/anthropic-rsi.html	https://www.anthropic.com/institute/recursive-self-improvement	https://www.anthropic.com/institute/recursive-self-improvement	MISSING	243476	sha256:c01636ecb5fe360c07398eae9b273e7732208d91c1de285aca2e757d643d69d4	evidence/weng/text/anthropic-rsi.txt	34405	sha256:21a53a1d12266fa8a117d9631d1859511f25ec4790fbc2ca6b9bfcce8199d987	MISSING	0	MISSING	references_heading_not_found	unknown	https://www.anthropic.com/institute/recursive-self-improvement	; claim ceiling: Identity and successor-development framing only
ASP	1	preprint-watchlist	Anchored Self-Play for Code Repair	pdf_arxiv	fetched	evidence/weng/artifacts/pdf/asp.pdf	https://arxiv.org/pdf/2607.03523v1	https://openreview.net/forum?id=lTbBFAoPSA	arXiv:2607.03523v1	6309835	sha256:2d2e2c329b6df9a297c92fcc80893100772a5d61088abfa62f673035a9563490	evidence/weng/text/asp.txt	78050	sha256:30e62813688594bfcdb028c3415fb3dff7852e1addd062f9b346aeb5e893b94b	evidence/weng/references/asp.txt	11681	sha256:049f8fb5dcd503fa8940e8b7f4fa350af4e2a57e413f2ba9915266fe02c0f473	references_extracted	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2607.03523	; claim ceiling: Identity only
AUTODATA	1	preprint-watchlist	Autodata: An agentic data scientist to create high quality synthetic data	pdf_arxiv	fetched	evidence/weng/artifacts/pdf/autodata.pdf	https://arxiv.org/pdf/2606.25996	https://arxiv.org/abs/2606.25996	arXiv:2606.25996	7561523	sha256:0e8782675b521c75c298cf9f5cb6b50271f39c32a507d41b19fc23cf1e9e75e0	evidence/weng/text/autodata.txt	104201	sha256:57267c57b9e81a3910dff3c01b8cd833f59c99d6ce9ef34cf159a1300d09ca20	evidence/weng/references/autodata.txt	49275	sha256:9b133df61b799042850477cfd97b06972f1443313772a70eaba73eb27a10e897	references_extracted	http://arxiv.org/licenses/nonexclusive-distrib/1.0/	https://export.arxiv.org/api/query?id_list=2606.25996	; claim ceiling: Identity only
