label	source_id	depth	cohort	access_status	artifact	relationship	primary_locator	version_or_digest	venue_status	inspected_on	claim_ceiling
CLAIM	SEED	0	seed	fetched-ephemeral	RSI practically user note	introduces scope	attachment pasted-text.txt	sha256:fe06902aaf91996177b40ee47d6fb83f1a92f3503c144aeb1951c54b4a564e1a	not-applicable	2026-07-31	User framing only; no independent mechanism or result evidence
EVIDENCE	WENG-HARNESS	0	secondary-anchor	vendored-inspected	Harness Engineering for Self-Improvement	introduces and synthesizes	https://lilianweng.github.io/posts/2026-07-04-harness/	sha256:45bc3793c36e42f79749f84af510761798b85960ad18d3123d86f3a403e247ac | sha256:45bc3793c36e42f79749f84af510761798b85960ad18d3123d86f3a403e247ac	Lil'Log 2026-07-04	2026-07-31	Anchor synthesis and bibliography topology; primary sources own mechanism and results
MISSING	GOOD-1965	1	established	vendored-uninspected	Speculations Concerning the First Ultraintelligent Machine	cited by WENG-HARNESS	https://philpapers.org/rec/GOOSCT	Advances in Computers 6 (1965), Virginia Tech reprint | sha256:b411d0bb494359d1990d773f67576d3ffc415f5d08fe3573c1f3ed360fb79649	Advances in Computers 6 (1965), reported by anchor	2026-07-31	Identity and historical relationship only
MISSING	YUDKOWSKY-2008	1	established	vendored-uninspected	Recursive Self-Improvement	cited by WENG-HARNESS	https://www.lesswrong.com/posts/JBadX7rwdcRFzGuju/recursive-self-improvement	GreaterWrong mirror retrieved 2026-07-31 | sha256:c9811959e2233257ae5edce3761bd8a02dce4c320741fd702c3735d528b3250a	LessWrong essay 2008	2026-07-31	Identity and terminology lineage only
MISSING	ASP	1	preprint-watchlist	vendored-uninspected	Anchored Self-Play for Code Repair	cited by WENG-HARNESS	https://openreview.net/forum?id=lTbBFAoPSA	arXiv:2607.03523v1 | sha256:2d2e2c329b6df9a297c92fcc80893100772a5d61088abfa62f673035a9563490	ICML 2026 reported by anchor; official status not verified	2026-07-31	Identity only
MISSING	ABSOLUTE-ZERO	1	preprint-watchlist	vendored-uninspected	Absolute Zero: Reinforced Self-play Reasoning with Zero Data	cited by WENG-HARNESS	https://arxiv.org/abs/2505.03335	arXiv:2505.03335 | sha256:6217ccee964c70e42fba116004ae23400c11d2ecc687c37aed062c3689098e18	MISSING	2026-07-31	Identity only
MISSING	SELF-REWARDING	1	preprint-watchlist	vendored-uninspected	Self-Rewarding Language Models	cited by WENG-HARNESS	https://arxiv.org/abs/2401.10020	arXiv:2401.10020 | sha256:61bed62389be6445c7a8dc6608641e86a3cc1a4d9b0b19a1f8645fc425997a96	MISSING	2026-07-31	Identity only
MISSING	SPIN	1	established	vendored-uninspected	Self-Play Fine-Tuning Converts Weak Language Models to Strong Language Models	cited by WENG-HARNESS	https://arxiv.org/abs/2401.01335	arXiv:2401.01335 | sha256:796c894bd81eedeb9b4048b62a1849281782b93345966c6aafc4701ead6e6cc4	ICML 2024 reported by anchor; official status not verified	2026-07-31	Identity only
EVIDENCE	ACE	1	accepted-frontier	vendored-inspected	Agentic Context Engineering: Evolving Contexts for Self-Improving Language Models	cited by WENG-HARNESS	https://iclr.cc/virtual/2026/poster/10008343	arXiv:2510.04618 | sha256:51050ced82df75c143b151262d5af8763916968ca50374bd8ff778f40552b0ad	ICLR 2026 official poster	2026-08-01	Official-paper mechanism, reported results, cost analysis, and limitations; no independent reproduction
EVIDENCE	MCE	1	preprint-watchlist	vendored-inspected	Meta Context Engineering via Agentic Skill Evolution	cited by WENG-HARNESS	https://arxiv.org/abs/2601.21557	arXiv:2601.21557 | sha256:da2d47e8ade571d41fdca14da027542e363fb16f052a0c29499f3500351f0973	preprint	2026-08-01	Bi-level skill/context evolution mechanism, author-reported results, evaluation setup, and limitations; no independent reproduction
EVIDENCE	META-HARNESS	1	preprint-watchlist	vendored-inspected	Meta-Harness: End-to-End Optimization of Model Harnesses	cited by WENG-HARNESS	https://arxiv.org/abs/2603.28052	arXiv:2603.28052v1 | sha256:7d9b90f53a9f4801a090f1a4acb843340cde81e4f865f97d53fff2a6a570eb73	preprint	2026-08-01	Outer-loop mechanism, filesystem/archive design, author-reported results, and experiment scope; no independent reproduction
EVIDENCE	META-HARNESS-SITE	NA	dated-project-page	vendored-inspected	evidence/meta_harness/site	reports on META-HARNESS	https://yoonholee.com/meta-harness/	Last-Modified:Tue, 04 Aug 2026 03:07:36 GMT | sha256:bcc19048fb87e54900a2629d59047a3b7435a7f8e9babec80beb0292348d905f	first-party project page	2026-08-08	Dated first-party page claims, tables, Pareto data, and illustrative trajectory; COLM 2026 wording is not independently verified through an official venue record
EVIDENCE	META-HARNESS-REPO	NA	implementation-snapshot	fetched-local-inspected	evidence/implementations/meta_harness/snapshot	implements META-HARNESS	https://github.com/stanford-iris-lab/meta-harness	git:44b9942127847f7421db70d8c7e48407f09a3c70	GitHub repository	2026-08-08	Present-day behavior of cleaned paper code at the pinned commit; MIT license preserved; not an independent reproduction
EVIDENCE	META-HARNESS-TB2-ARTIFACT	NA	implementation-snapshot	fetched-local-inspected	evidence/implementations/meta_harness_tb2_artifact/snapshot	instantiates META-HARNESS-REPO	https://github.com/stanford-iris-lab/meta-harness-tbench2-artifact	git:57fefdb2ff84af3fd81b69d67814acbe69bd0743	GitHub artifact repository	2026-08-08	All five pinned files captured; no license was present at the revision; artifact source behavior only, not leaderboard reproduction
EVIDENCE	META-HARNESS-TRAE-RUN	NA	local-interface-experiment	vendored-inspected	evidence/meta_harness/trae_run	evaluates interface of META-HARNESS-REPO	local://evidence/meta_harness/trae_run	harp-meta-harness-trae-run/v1 | sha256:25a0f71cf589ee86a441ef2139acb69dc741c23697b5096e1a5bac0f3c20cb99	local recorded experiment	2026-08-08	First schema-valid proposal iteration and write boundary only; all three candidates were interface-invalid; no benchmark, paid evaluation, held-out result, or quality claim
EVIDENCE	AI-SCIENTIST	1	accepted-frontier	vendored-inspected	Towards end-to-end automation of AI research	cited by WENG-HARNESS	https://www.nature.com/articles/s41586-026-10265-5	Nature 651:914-919 (2026) | sha256:5e45c538ce490fab6a145f62528824d2ad91d4ec62a053fabd0e8017c772993e	Nature, published 2026-03-25	2026-07-31	Article claims, methods, results, and limitations at inspected locators
MISSING	SCIENTISTONE	1	preprint-watchlist	vendored-uninspected	ScientistOne: Towards Human-Level Autonomous Research via Chain-of-Evidence	cited by WENG-HARNESS	https://arxiv.org/abs/2605.26340	arXiv:2605.26340 | sha256:9d4fa9d1e9e6b1cdccfeff02fecbd28b5b961594952a1ac96e00ad135bed0a51	preprint	2026-07-31	Identity only
MISSING	AUTODATA	1	preprint-watchlist	vendored-uninspected	Autodata: An agentic data scientist to create high quality synthetic data	cited by WENG-HARNESS	https://arxiv.org/abs/2606.25996	arXiv:2606.25996 | sha256:0e8782675b521c75c298cf9f5cb6b50271f39c32a507d41b19fc23cf1e9e75e0	preprint	2026-07-31	Identity only
EVIDENCE	ADAS	1	established	vendored-inspected	Automated Design of Agentic Systems	cited by WENG-HARNESS	https://proceedings.iclr.cc/paper_files/paper/2025/file/36b7acf6f6010652b3f2a433774a66fe-Paper-Conference.pdf	arXiv:2408.08435v2 | sha256:993e4211a244e2f4ad911e01427a60a16875f340fe1aaf3d125a7a71cf28c3fe	ICLR 2025 official proceedings	2026-07-31	Abstract and inspected official-paper mechanism claims
EVIDENCE	SELF-REFINE	1	established	vendored-inspected	Self-Refine: Iterative Refinement with Self-Feedback	cited by WENG-HARNESS	https://arxiv.org/abs/2303.17651	arXiv:2303.17651 | sha256:81e44592314d80218ad108d3490cd0b84ba5962fefd5c84819987afd77a57087	NeurIPS 2023 reported by anchor; official status not verified	2026-08-01	Iterative feedback/refinement algorithm, author-reported task results, and stated limitations; no persistent cross-episode or RSI claim
EVIDENCE	AFLOW	1	established	vendored-inspected	AFlow: Automating Agentic Workflow Generation	cited by WENG-HARNESS	https://openreview.net/forum?id=z5uVAKwmjf	arXiv:2410.10762 | sha256:9be15f695f11dd5bc634c1c026bd2270eff3d3c4a53c4d9b51c012b7bd03d521	ICLR 2025 official-paper PDF identified	2026-08-01	Official-paper MCTS workflow-search mechanism and author-reported results; no independent reproduction or RSI efficacy claim
EVIDENCE	STOP	1	established	vendored-inspected	Self-Taught Optimizer (STOP): Recursively Self-Improving Code Generation	cited by WENG-HARNESS	https://arxiv.org/abs/2310.02304	arXiv:2310.02304v3 | sha256:f1eb66d65763d84367fd380625cf86d66b5dd8e319c46259e7d0aabba9b608e2	COLM 2024 reported on arXiv; official proceedings not checked	2026-07-31	Abstract claims and explicit full-RSI limitation
EVIDENCE	SELF-HARNESS	1	preprint-watchlist	vendored-inspected	Self-Harness: Harnesses That Improve Themselves	cited by WENG-HARNESS	https://arxiv.org/abs/2606.09498	arXiv:2606.09498v1 | sha256:065712f5bc1caeed717ad94e68bc0a011420417e86ef9b919ddb5e44e41398ab	preprint	2026-07-31	Abstract mechanism and author-reported measurements
MISSING	PROMPTBREEDER	1	preprint-watchlist	vendored-uninspected	Promptbreeder: Self-Referential Self-Improvement Via Prompt Evolution	cited by WENG-HARNESS	https://arxiv.org/abs/2309.16797	arXiv:2309.16797 | sha256:0e5b44b77d345581509bb58b009fa7fef9928bf8c090b2a056e8916f25d974a0	MISSING	2026-07-31	Identity only
MISSING	GEPA	1	preprint-watchlist	vendored-uninspected	GEPA: Reflective Prompt Evolution Can Outperform Reinforcement Learning	cited by WENG-HARNESS	https://arxiv.org/abs/2507.19457	arXiv:2507.19457 | sha256:ab3a5139bac83f192ad67529368d77b84b0d807e95a8e4fd0daa8d45fd046bec	MISSING	2026-07-31	Identity only
EVIDENCE	ALPHAEVOLVE	1	preprint-watchlist	vendored-inspected	AlphaEvolve: A coding agent for scientific and algorithmic discovery	cited by WENG-HARNESS	https://arxiv.org/abs/2506.13131	arXiv:2506.13131v1 | sha256:f092c8cbd65da89951ee6496374da9a54963f9035758c25ac6e4625f506df9ad	preprint white paper	2026-07-31	Abstract mechanism and author-reported applications
MISSING	SHINKAEVOLVE	1	preprint-watchlist	vendored-uninspected	ShinkaEvolve: Towards Open-Ended And Sample-Efficient Program Evolution	cited by WENG-HARNESS	https://arxiv.org/abs/2509.19349	arXiv:2509.19349 | sha256:ee287343c53240126e16a444d5ade2cd0ad0f290a400e78b97a040b93d965087	preprint	2026-07-31	Identity only
MISSING	THETAEVOLVE	1	preprint-watchlist	vendored-uninspected	ThetaEvolve: Test-time Learning on Open Problems	cited by WENG-HARNESS	https://arxiv.org/abs/2511.23473	arXiv:2511.23473 | sha256:8e74933b2a4dddbf80a063fb88438c95b62b982a5167bbb77213ce1e3839715d	preprint	2026-07-31	Identity only
EVIDENCE	DGM	1	preprint-watchlist	vendored-inspected	Darwin Gödel Machine: Open-Ended Evolution of Self-Improving Agents	cited by WENG-HARNESS	https://arxiv.org/abs/2505.22954	arXiv:2505.22954v3 | sha256:13ff4abe0c7ad4a7dd3b4876d19a8bf940e39e70dabbf06065aa774a6c3457de	preprint	2026-07-31	Abstract, mechanism, reported results, and explicit frozen-FM limitation
