source_id	depth	cohort	title	relationship	artifact_kind	original_locator	version_hint	acquisition_url	license_metadata_url	claim_ceiling
WENG-HARNESS	0	secondary-anchor	Harness Engineering for Self-Improvement	introduces and synthesizes	html	https://lilianweng.github.io/posts/2026-07-04-harness/	sha256:45bc3793c36e42f79749f84af510761798b85960ad18d3123d86f3a403e247ac	https://lilianweng.github.io/posts/2026-07-04-harness/	https://lilianweng.github.io/posts/2026-07-04-harness/	Anchor synthesis and bibliography topology; primary sources own mechanism and results
ABSOLUTE-ZERO	1	preprint-watchlist	Absolute Zero: Reinforced Self-play Reasoning with Zero Data	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2505.03335	arXiv:2505.03335	https://arxiv.org/pdf/2505.03335	https://export.arxiv.org/api/query?id_list=2505.03335	Identity only
ACE	1	accepted-frontier	Agentic Context Engineering: Evolving Contexts for Self-Improving Language Models	cited by WENG-HARNESS	pdf_arxiv	https://iclr.cc/virtual/2026/poster/10008343	arXiv:2510.04618	https://arxiv.org/pdf/2510.04618	https://export.arxiv.org/api/query?id_list=2510.04618	Official abstract and venue identity
ADAS	1	established	Automated Design of Agentic Systems	cited by WENG-HARNESS	pdf_direct	https://proceedings.iclr.cc/paper_files/paper/2025/file/36b7acf6f6010652b3f2a433774a66fe-Paper-Conference.pdf	arXiv:2408.08435v2	https://proceedings.iclr.cc/paper_files/paper/2025/file/36b7acf6f6010652b3f2a433774a66fe-Paper-Conference.pdf	https://proceedings.iclr.cc/paper_files/paper/2025/file/36b7acf6f6010652b3f2a433774a66fe-Paper-Conference.pdf	Abstract and inspected official-paper mechanism claims
AFLOW	1	established	AFlow: Automating Agentic Workflow Generation	cited by WENG-HARNESS	pdf_arxiv	https://openreview.net/forum?id=z5uVAKwmjf	arXiv:2410.10762	https://arxiv.org/pdf/2410.10762	https://export.arxiv.org/api/query?id_list=2410.10762	Official-paper abstract and inspected method passage
AHE	1	preprint-watchlist	Agentic Harness Engineering: Observability-Driven Automatic Evolution of Coding-Agent Harnesses	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2604.25850	arXiv:2604.25850v4	https://arxiv.org/pdf/2604.25850v4	https://export.arxiv.org/api/query?id_list=2604.25850	Abstract mechanism, measurements, transfer claim, and ablation
AI-SCIENTIST	1	accepted-frontier	Towards end-to-end automation of AI research	cited by WENG-HARNESS	html	https://www.nature.com/articles/s41586-026-10265-5	Nature 651:914-919 (2026)	https://www.nature.com/articles/s41586-026-10265-5	https://www.nature.com/articles/s41586-026-10265-5	Article claims, methods, results, and limitations at inspected locators
ALPHAEVOLVE	1	preprint-watchlist	AlphaEvolve: A coding agent for scientific and algorithmic discovery	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2506.13131	arXiv:2506.13131v1	https://arxiv.org/pdf/2506.13131v1	https://export.arxiv.org/api/query?id_list=2506.13131	Abstract mechanism and author-reported applications
ANTHROPIC-RSI	1	mutable-position	When AI Builds Itself	body-linked by WENG-HARNESS	html	https://www.anthropic.com/institute/recursive-self-improvement	MISSING	https://www.anthropic.com/institute/recursive-self-improvement	https://www.anthropic.com/institute/recursive-self-improvement	Identity and successor-development framing only
ASP	1	preprint-watchlist	Anchored Self-Play for Code Repair	cited by WENG-HARNESS	pdf_arxiv	https://openreview.net/forum?id=lTbBFAoPSA	arXiv:2607.03523v1	https://arxiv.org/pdf/2607.03523v1	https://export.arxiv.org/api/query?id_list=2607.03523	Identity only
AUTODATA	1	preprint-watchlist	Autodata: An agentic data scientist to create high quality synthetic data	cited by WENG-HARNESS	pdf_arxiv	https://arxiv.org/abs/2606.25996	arXiv:2606.25996	https://arxiv.org/pdf/2606.25996	https://export.arxiv.org/api/query?id_list=2606.25996	Identity only
